2024-05-25 00:27:54.155 WARN  org.apache.flink.runtime.security.token.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
2024-05-25 00:27:55.549 WARN  org.apache.flink.runtime.webmonitor.WebMonitorUtils - Log file environment variable 'log.file' is not set.
2024-05-25 00:27:55.551 WARN  org.apache.flink.runtime.webmonitor.WebMonitorUtils - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
2024-05-25 00:27:57.619 WARN  org.apache.flink.runtime.security.token.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
2024-05-25 00:27:57.619 WARN  org.apache.flink.runtime.security.token.DefaultDelegationTokenManager - Tokens update task not started because either no tokens obtained or none of the tokens specified its renewal date
2024-05-25 00:27:58.468 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
2024-05-25 00:27:58.468 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
2024-05-25 00:27:58.468 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
2024-05-25 00:27:58.468 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
2024-05-25 00:27:58.468 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
2024-05-25 00:27:58.469 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
2024-05-25 00:27:58.468 WARN  org.apache.flink.metrics.MetricGroup - The operator name DataSource (at main(WordCountBatchProcess.java:20) (org.apache.flink.api.java.io.TextInputFormat)) exceeded the 80 characters length limit and was truncated.
